scenario,track,metric,n_pdb_fe,n_pdb_ni,mean_fe,mean_ni,mean_diff_fe_minus_ni,mean_diff_ci_low,mean_diff_ci_high,p_value_welch,effect_size_cohens_d,effect_size_d_ci_low,effect_size_d_ci_high,sensitivity_flags
primary_all,TrackA_family_ACS,Average Hydropathy,11,11,2.293874458874459,1.7025919913419911,0.5912824675324679,0.189254377319109,0.9931535024994841,0.011809754396215151,1.1946326040515138,0.3972386218877262,2.330751798058877,none
primary_all,TrackA_family_ACS,Hydropathy SD,11,11,0.6621959224646677,1.8775480641946307,-1.215352141729963,-1.5550875861888582,-0.8769793256019592,2.921709530969555e-06,-2.8939220872644102,-4.404523235195581,-2.260840363421402,none
primary_all,TrackA_family_ACS,cys_fraction,11,11,0.9054112554112556,0.5290494227994228,0.37636183261183276,0.3026877190270048,0.4450766594516595,2.268530752426567e-07,4.193715915703261,3.281602091154008,6.39752876767452,none
primary_all,TrackA_family_CODH,Average Hydropathy,18,14,1.9127014278588352,1.1778544050195836,0.7348470228392516,0.34024313004382467,1.1231504904308105,0.0022228071525174364,1.3167844435237446,0.5437413262521389,2.833682087868801,none
primary_all,TrackA_family_CODH,Hydropathy SD,18,14,0.8281569266864529,2.104356165033112,-1.2761992383466594,-1.7662518018138595,-0.7106767432334831,0.00021638227752614152,-1.7150702390648636,-4.477834390419918,-0.7888615192057696,none
primary_all,TrackA_family_CODH,cys_fraction,18,14,0.8842234323583531,0.7155849524153096,0.16863847994304348,0.07269337245279699,0.2583848249597255,0.0026390627233074046,1.2656788958214318,0.47853284911042,2.698271908963852,none
primary_all,TrackA_family_NiFe_hydrogenase,Average Hydropathy,17,17,1.2597675758337523,0.6810209724915606,0.5787466033421917,0.15089639875715252,0.9947425514810627,0.015163024245931415,0.8807461023599851,0.18071793707564807,2.037506862451934,none
primary_all,TrackA_family_NiFe_hydrogenase,Hydropathy SD,17,17,1.643394053596534,2.769284076929809,-1.1258900233332751,-1.5890331675938687,-0.596929913925038,0.00015380111574416784,-1.4719484436063313,-3.240346731552333,-0.6121361021828924,none
primary_all,TrackA_family_NiFe_hydrogenase,cys_fraction,17,17,0.6612036044021338,0.4463667051902346,0.2148368992118992,0.0929390436973157,0.3207906442005705,0.001311363233299261,1.212883628247202,0.46784194584914324,2.395847213869345,none
sensitivity_exclude_flagged,TrackA_family_ACS,Average Hydropathy,11,11,2.293874458874459,1.7025919913419911,0.5912824675324679,0.192928548881674,0.998602614151721,0.011809754396215151,1.1946326040515138,0.45574298353424436,2.335902320542396,"exclude_pdbs_flagged_in_ni_master=17; criteria=(include!=yes OR mutation in {Yes,review_required} OR engineered in {Yes,review_required})"
sensitivity_exclude_flagged,TrackA_family_ACS,Hydropathy SD,11,11,0.6621959224646677,1.8775480641946307,-1.215352141729963,-1.5474199714932528,-0.8891390336922965,2.921709530969555e-06,-2.8939220872644102,-4.33965314536234,-2.2641814106201665,"exclude_pdbs_flagged_in_ni_master=17; criteria=(include!=yes OR mutation in {Yes,review_required} OR engineered in {Yes,review_required})"
sensitivity_exclude_flagged,TrackA_family_ACS,cys_fraction,11,11,0.9054112554112556,0.5290494227994228,0.37636183261183276,0.302794945629767,0.44793792517006803,2.268530752426567e-07,4.193715915703261,3.2949740773166694,6.458415902983396,"exclude_pdbs_flagged_in_ni_master=17; criteria=(include!=yes OR mutation in {Yes,review_required} OR engineered in {Yes,review_required})"
sensitivity_exclude_flagged,TrackA_family_CODH,Average Hydropathy,18,14,1.9127014278588352,1.1778544050195836,0.7348470228392516,0.3416697117902062,1.1169819216529906,0.0022228071525174364,1.3167844435237446,0.5043962046967505,2.7385810713056,"exclude_pdbs_flagged_in_ni_master=17; criteria=(include!=yes OR mutation in {Yes,review_required} OR engineered in {Yes,review_required})"
sensitivity_exclude_flagged,TrackA_family_CODH,Hydropathy SD,18,14,0.8281569266864529,2.104356165033112,-1.2761992383466594,-1.7470793140141907,-0.7163723801500352,0.00021638227752614152,-1.7150702390648636,-4.315934655356469,-0.7725501325736089,"exclude_pdbs_flagged_in_ni_master=17; criteria=(include!=yes OR mutation in {Yes,review_required} OR engineered in {Yes,review_required})"
sensitivity_exclude_flagged,TrackA_family_CODH,cys_fraction,18,14,0.8842234323583531,0.7155849524153096,0.16863847994304348,0.07078113106213291,0.25929439179922803,0.0026390627233074046,1.2656788958214318,0.45738321329982945,2.646449521732775,"exclude_pdbs_flagged_in_ni_master=17; criteria=(include!=yes OR mutation in {Yes,review_required} OR engineered in {Yes,review_required})"
sensitivity_exclude_flagged,TrackA_family_NiFe_hydrogenase,Average Hydropathy,17,17,1.2597675758337523,0.6810209724915606,0.5787466033421917,0.12833925185993209,0.9806722978988601,0.015163024245931415,0.8807461023599851,0.18345335122046966,2.0055809005894383,"exclude_pdbs_flagged_in_ni_master=17; criteria=(include!=yes OR mutation in {Yes,review_required} OR engineered in {Yes,review_required})"
sensitivity_exclude_flagged,TrackA_family_NiFe_hydrogenase,Hydropathy SD,17,17,1.643394053596534,2.769284076929809,-1.1258900233332751,-1.5782091043384656,-0.5890048836282126,0.00015380111574416784,-1.4719484436063313,-3.1825238508057376,-0.6070566250338947,"exclude_pdbs_flagged_in_ni_master=17; criteria=(include!=yes OR mutation in {Yes,review_required} OR engineered in {Yes,review_required})"
sensitivity_exclude_flagged,TrackA_family_NiFe_hydrogenase,cys_fraction,17,17,0.6612036044021338,0.4463667051902346,0.2148368992118992,0.10157382241941078,0.33274997061761763,0.001311363233299261,1.212883628247202,0.4702862256013783,2.410222484603234,"exclude_pdbs_flagged_in_ni_master=17; criteria=(include!=yes OR mutation in {Yes,review_required} OR engineered in {Yes,review_required})"
